day,day_range,weather,day_of_week,celebration,season
2015-04-09,1800,Sunny,5,0,Spring
2015-04-10,0,Clear,6,0,Spring
2015-04-10,600,Clear,6,0,Spring
2015-04-10,1200,Sunny,6,0,Spring
2015-04-10,1800,Overcast,6,0,Spring
2015-04-11,0,Partly cloudy,7,0,Spring
2015-04-11,600,Partly cloudy,7,0,Spring
2015-04-11,1200,Partly cloudy,7,0,Spring
2015-04-11,1800,Sunny,7,0,Spring
2015-04-12,0,Clear,1,0,Spring
2015-04-12,600,Clear,1,0,Spring
2015-04-12,1200,Sunny,1,0,Spring
2015-04-12,1800,Sunny,1,0,Spring
2015-04-13,0,Clear,2,0,Spring
2015-04-13,600,Clear,2,0,Spring
2015-04-13,1200,Sunny,2,0,Spring
2015-04-13,1800,Sunny,2,0,Spring
2015-04-14,0,Clear,3,0,Spring
2015-04-14,600,Clear,3,0,Spring
2015-04-14,1200,Sunny,3,0,Spring
2015-04-14,1800,Sunny,3,0,Spring
2015-04-15,0,Clear,4,0,Spring
2015-04-15,600,Clear,4,0,Spring
2015-04-15,1200,Sunny,4,0,Spring
2015-04-15,1800,Sunny,4,0,Spring
2015-04-16,0,Clear,5,0,Spring
2015-04-16,600,Overcast,5,0,Spring
2015-04-16,1200,Overcast,5,0,Spring
2015-04-16,1800,Sunny,5,0,Spring
2015-04-17,0,Light rain,6,0,Spring
2015-04-17,600,Partly cloudy,6,0,Spring
2015-04-17,1200,Light rain shower,6,0,Spring
2015-04-17,1800,Patchy rain possible,6,0,Spring
2015-04-18,0,Patchy rain possible,7,0,Spring
2015-04-18,600,Light rain shower,7,0,Spring
2015-04-18,1200,Patchy rain possible,7,0,Spring
2015-04-18,1800,Sunny,7,0,Spring
2015-04-19,0,Partly cloudy,1,0,Spring
2015-04-19,600,Partly cloudy,1,0,Spring
2015-04-19,1200,Cloudy,1,0,Spring
2015-04-19,1800,Partly cloudy,1,0,Spring
2015-04-20,0,Partly cloudy,2,0,Spring
2015-04-20,600,Clear,2,0,Spring
2015-04-20,1200,Sunny,2,0,Spring
2015-04-20,1800,Sunny,2,0,Spring
2015-04-21,0,Clear,3,0,Spring
2015-04-21,600,Clear,3,0,Spring
2015-04-21,1200,Sunny,3,0,Spring
2015-04-21,1800,Sunny,3,0,Spring
2015-04-22,0,Clear,4,0,Spring
2015-04-22,600,Clear,4,0,Spring
2015-04-22,1200,Sunny,4,0,Spring
2015-04-22,1800,Sunny,4,0,Spring
2015-04-23,0,Clear,5,0,Spring
2015-04-23,600,Cloudy,5,0,Spring
2015-04-23,1200,Sunny,5,0,Spring
2015-04-23,1800,Sunny,5,0,Spring
2015-04-24,0,Partly cloudy,6,0,Spring
2015-04-24,600,Partly cloudy,6,0,Spring
2015-04-24,1200,Sunny,6,0,Spring
2015-04-24,1800,Sunny,6,0,Spring
2015-04-25,0,Clear,7,1,Spring
2015-04-25,600,Clear,7,1,Spring
2015-04-25,1200,Partly cloudy,7,1,Spring
2015-04-25,1800,Sunny,7,1,Spring
2015-04-26,0,Clear,1,0,Spring
2015-04-26,600,Cloudy,1,0,Spring
2015-04-26,1200,Light rain shower,1,0,Spring
2015-04-26,1800,Patchy rain possible,1,0,Spring
2015-04-27,0,Overcast,2,0,Spring
2015-04-27,600,Light rain shower,2,0,Spring
2015-04-27,1200,Moderate or heavy rain shower,2,0,Spring
2015-04-27,1800,Moderate or heavy rain shower,2,0,Spring
2015-04-28,0,Light rain,3,0,Spring
2015-04-28,600,Patchy light rain,3,0,Spring
2015-04-28,1200,Patchy light drizzle,3,0,Spring
2015-04-28,1800,Patchy rain possible,3,0,Spring
2015-04-29,0,Patchy light drizzle,4,0,Spring
2015-04-29,600,Partly cloudy,4,0,Spring
2015-04-29,1200,Sunny,4,0,Spring
2015-04-29,1800,Patchy rain possible,4,0,Spring
2015-04-30,0,Overcast,5,0,Spring
2015-04-30,600,Light rain shower,5,0,Spring
2015-04-30,1200,Patchy rain possible,5,0,Spring
2015-04-30,1800,Sunny,5,0,Spring
2015-05-01,0,Partly cloudy,6,1,Spring
2015-05-01,600,Patchy rain possible,6,1,Spring
2015-05-01,1200,Partly cloudy,6,1,Spring
2015-05-01,1800,Partly cloudy,6,1,Spring
2015-05-02,0,Light drizzle,7,0,Spring
2015-05-02,600,Light drizzle,7,0,Spring
2015-05-02,1200,Light rain shower,7,0,Spring
2015-05-02,1800,Sunny,7,0,Spring
2015-05-03,0,Cloudy,1,0,Spring
2015-05-03,600,Cloudy,1,0,Spring
2015-05-03,1200,Partly cloudy,1,0,Spring
2015-05-03,1800,Sunny,1,0,Spring
2015-05-04,0,Clear,2,0,Spring
2015-05-04,600,Clear,2,0,Spring
2015-05-04,1200,Partly cloudy,2,0,Spring
2015-05-04,1800,Sunny,2,0,Spring
2015-05-05,0,Partly cloudy,3,0,Spring
2015-05-05,600,Clear,3,0,Spring
2015-05-05,1200,Partly cloudy,3,0,Spring
2015-05-05,1800,Sunny,3,0,Spring
2015-05-06,0,Clear,4,0,Spring
2015-05-06,600,Partly cloudy,4,0,Spring
2015-05-06,1200,Partly cloudy,4,0,Spring
2015-05-06,1800,Sunny,4,0,Spring
2015-05-07,0,Clear,5,0,Spring
2015-05-07,600,Clear,5,0,Spring
2015-05-07,1200,Cloudy,5,0,Spring
2015-05-07,1800,Sunny,5,0,Spring
2015-05-08,0,Clear,6,0,Spring
2015-05-08,600,Clear,6,0,Spring
2015-05-08,1200,Partly cloudy,6,0,Spring
2015-05-08,1800,Sunny,6,0,Spring
2015-05-09,0,Clear,7,0,Spring
2015-05-09,600,Clear,7,0,Spring
2015-05-09,1200,Sunny,7,0,Spring
2015-05-09,1800,Sunny,7,0,Spring
2015-05-10,0,Clear,1,1,Spring
2015-05-10,600,Clear,1,1,Spring
2015-05-10,1200,Sunny,1,1,Spring
2015-05-10,1800,Sunny,1,1,Spring
2015-05-11,0,Clear,2,0,Spring
2015-05-11,600,Clear,2,0,Spring
2015-05-11,1200,Sunny,2,0,Spring
2015-05-11,1800,Sunny,2,0,Spring
2015-05-12,0,Clear,3,0,Spring
2015-05-12,600,Clear,3,0,Spring
2015-05-12,1200,Sunny,3,0,Spring
2015-05-12,1800,Sunny,3,0,Spring
2015-05-13,0,Clear,4,0,Spring
2015-05-13,600,Clear,4,0,Spring
2015-05-13,1200,Partly cloudy,4,0,Spring
2015-05-13,1800,Sunny,4,0,Spring
2015-05-14,0,Clear,5,0,Spring
2015-05-14,600,Clear,5,0,Spring
2015-05-14,1200,Sunny,5,0,Spring
2015-05-14,1800,Sunny,5,0,Spring
2015-05-15,0,Patchy rain possible,6,0,Spring
2015-05-15,600,Patchy rain possible,6,0,Spring
2015-05-15,1200,Light rain shower,6,0,Spring
2015-05-15,1800,Light rain shower,6,0,Spring
2015-05-16,0,Partly cloudy,7,0,Spring
2015-05-16,600,Overcast,7,0,Spring
2015-05-16,1200,Thundery outbreaks possible,7,0,Spring
2015-05-16,1800,Moderate or heavy rain shower,7,0,Spring
2015-05-17,0,Clear,1,0,Spring
2015-05-17,600,Clear,1,0,Spring
2015-05-17,1200,Sunny,1,0,Spring
2015-05-17,1800,Sunny,1,0,Spring
2015-05-18,0,Clear,2,0,Spring
2015-05-18,600,Clear,2,0,Spring
2015-05-18,1200,Sunny,2,0,Spring
2015-05-18,1800,Sunny,2,0,Spring
2015-05-19,0,Clear,3,0,Spring
2015-05-19,600,Cloudy,3,0,Spring
2015-05-19,1200,Sunny,3,0,Spring
2015-05-19,1800,Partly cloudy,3,0,Spring
2015-05-20,0,Clear,4,0,Spring
2015-05-20,600,Cloudy,4,0,Spring
2015-05-20,1200,Patchy rain possible,4,0,Spring
2015-05-20,1800,Sunny,4,0,Spring
2015-05-21,0,Clear,5,0,Spring
2015-05-21,600,Clear,5,0,Spring
2015-05-21,1200,Sunny,5,0,Spring
2015-05-21,1800,Sunny,5,0,Spring
2015-05-22,0,Patchy rain possible,6,0,Spring
2015-05-22,600,Moderate rain,6,0,Spring
2015-05-22,1200,Patchy light rain,6,0,Spring
2015-05-22,1800,Patchy light drizzle,6,0,Spring
2015-05-23,0,Patchy rain possible,7,0,Spring
2015-05-23,600,Patchy light drizzle,7,0,Spring
2015-05-23,1200,Patchy light drizzle,7,0,Spring
2015-05-23,1800,Patchy light drizzle,7,0,Spring
2015-05-24,0,Patchy rain possible,1,1,Spring
2015-05-24,600,Partly cloudy,1,1,Spring
2015-05-24,1200,Partly cloudy,1,1,Spring
2015-05-24,1800,Sunny,1,1,Spring
2015-05-25,0,Clear,2,0,Spring
2015-05-25,600,Clear,2,0,Spring
2015-05-25,1200,Sunny,2,0,Spring
2015-05-25,1800,Sunny,2,0,Spring
2015-05-26,0,Clear,3,0,Spring
2015-05-26,600,Clear,3,0,Spring
2015-05-26,1200,Sunny,3,0,Spring
2015-05-26,1800,Patchy rain possible,3,0,Spring
2015-05-27,0,Patchy rain possible,4,0,Spring
2015-05-27,600,Cloudy,4,0,Spring
2015-05-27,1200,Partly cloudy,4,0,Spring
2015-05-27,1800,Sunny,4,0,Spring
2015-05-28,0,Clear,5,0,Spring
2015-05-28,600,Clear,5,0,Spring
